,model,superposition_ratio,masking_ratio,log_likelihood
0,slm_sparse_50epochs,0.0,0.0,0.0
1,slm_sparse_50epochs,0.0,0.05,-492.5684814453125
2,slm_sparse_50epochs,0.0,0.1,-1062.9578857421875
3,slm_sparse_50epochs,0.0,0.15000000000000002,-1865.0797119140625
4,slm_sparse_50epochs,0.0,0.2,-2687.151611328125
5,slm_sparse_50epochs,0.0,0.25,-4152.64501953125
6,slm_sparse_50epochs,0.0,0.30000000000000004,-5587.396484375
7,slm_sparse_50epochs,0.0,0.35000000000000003,-7365.15625
8,slm_sparse_50epochs,0.0,0.4,-10434.392578125
9,slm_sparse_50epochs,0.0,0.45,-13423.2197265625
10,slm_sparse_50epochs,0.0,0.5,-16127.9326171875
11,slm_sparse_50epochs,0.0,0.55,-20930.625
12,slm_sparse_50epochs,0.0,0.6000000000000001,-25673.140625
13,slm_sparse_50epochs,0.0,0.65,-31564.1328125
14,slm_sparse_50epochs,0.0,0.7000000000000001,-38809.8046875
15,slm_sparse_50epochs,0.0,0.75,-47250.5
16,slm_sparse_50epochs,0.0,0.8,-58826.8671875
17,slm_sparse_50epochs,0.0,0.8500000000000001,-73766.890625
18,slm_sparse_50epochs,0.0,0.9,-93750.1640625
19,slm_sparse_50epochs,0.0,0.9500000000000001,-123873.59375
20,slm_sparse_50epochs,0.0,1.0,-507016.75
21,slm_sparse_50epochs,0.25,0.0,-35501.8046875
22,slm_sparse_50epochs,0.25,0.05,-36936.51953125
23,slm_sparse_50epochs,0.25,0.1,-38215.1015625
24,slm_sparse_50epochs,0.25,0.15000000000000002,-40111.734375
25,slm_sparse_50epochs,0.25,0.2,-41983.5859375
26,slm_sparse_50epochs,0.25,0.25,-44745.92578125
27,slm_sparse_50epochs,0.25,0.30000000000000004,-46563.7265625
28,slm_sparse_50epochs,0.25,0.35000000000000003,-49005.390625
29,slm_sparse_50epochs,0.25,0.4,-51796.5078125
30,slm_sparse_50epochs,0.25,0.45,-54925.27734375
31,slm_sparse_50epochs,0.25,0.5,-57737.7734375
32,slm_sparse_50epochs,0.25,0.55,-62566.0
33,slm_sparse_50epochs,0.25,0.6000000000000001,-66628.46875
34,slm_sparse_50epochs,0.25,0.65,-72600.140625
35,slm_sparse_50epochs,0.25,0.7000000000000001,-79246.0625
36,slm_sparse_50epochs,0.25,0.75,-86638.96875
37,slm_sparse_50epochs,0.25,0.8,-97844.015625
38,slm_sparse_50epochs,0.25,0.8500000000000001,-110709.28125
39,slm_sparse_50epochs,0.25,0.9,-126714.53125
40,slm_sparse_50epochs,0.25,0.9500000000000001,-155332.078125
41,slm_sparse_50epochs,0.25,1.0,-507016.75
42,slm_sparse_50epochs,0.5,0.0,-66329.4609375
43,slm_sparse_50epochs,0.5,0.05,-68036.453125
44,slm_sparse_50epochs,0.5,0.1,-69944.15625
45,slm_sparse_50epochs,0.5,0.15000000000000002,-71718.8671875
46,slm_sparse_50epochs,0.5,0.2,-73766.0390625
47,slm_sparse_50epochs,0.5,0.25,-76866.8125
48,slm_sparse_50epochs,0.5,0.30000000000000004,-78931.6796875
49,slm_sparse_50epochs,0.5,0.35000000000000003,-81801.40625
50,slm_sparse_50epochs,0.5,0.4,-86281.328125
51,slm_sparse_50epochs,0.5,0.45,-88519.953125
52,slm_sparse_50epochs,0.5,0.5,-94851.0703125
53,slm_sparse_50epochs,0.5,0.55,-97947.1953125
54,slm_sparse_50epochs,0.5,0.6000000000000001,-104517.7421875
55,slm_sparse_50epochs,0.5,0.65,-110410.2890625
56,slm_sparse_50epochs,0.5,0.7000000000000001,-118230.75
57,slm_sparse_50epochs,0.5,0.75,-125752.796875
58,slm_sparse_50epochs,0.5,0.8,-136709.1875
59,slm_sparse_50epochs,0.5,0.8500000000000001,-150192.4375
60,slm_sparse_50epochs,0.5,0.9,-167556.515625
61,slm_sparse_50epochs,0.5,0.9500000000000001,-200397.5625
62,slm_sparse_50epochs,0.5,1.0,-507016.75
63,slm_sparse_50epochs,0.75,0.0,-109245.4296875
64,slm_sparse_50epochs,0.75,0.05,-111309.4375
65,slm_sparse_50epochs,0.75,0.1,-114443.2890625
66,slm_sparse_50epochs,0.75,0.15000000000000002,-117241.75
67,slm_sparse_50epochs,0.75,0.2,-119328.0859375
68,slm_sparse_50epochs,0.75,0.25,-121773.0859375
69,slm_sparse_50epochs,0.75,0.30000000000000004,-127233.1171875
70,slm_sparse_50epochs,0.75,0.35000000000000003,-130203.2890625
71,slm_sparse_50epochs,0.75,0.4,-134850.90625
72,slm_sparse_50epochs,0.75,0.45,-137836.015625
73,slm_sparse_50epochs,0.75,0.5,-142938.5625
74,slm_sparse_50epochs,0.75,0.55,-146438.84375
75,slm_sparse_50epochs,0.75,0.6000000000000001,-153622.1875
76,slm_sparse_50epochs,0.75,0.65,-162246.5
77,slm_sparse_50epochs,0.75,0.7000000000000001,-168165.171875
78,slm_sparse_50epochs,0.75,0.75,-175080.6875
79,slm_sparse_50epochs,0.75,0.8,-188061.25
80,slm_sparse_50epochs,0.75,0.8500000000000001,-201434.34375
81,slm_sparse_50epochs,0.75,0.9,-230703.375
82,slm_sparse_50epochs,0.75,0.9500000000000001,-292920.46875
83,slm_sparse_50epochs,0.75,1.0,-507016.75
84,slm_sparse_50epochs,1.0,0.0,-507016.75
85,slm_sparse_50epochs,1.0,0.05,-507016.75
86,slm_sparse_50epochs,1.0,0.1,-507016.75
87,slm_sparse_50epochs,1.0,0.15000000000000002,-507016.75
88,slm_sparse_50epochs,1.0,0.2,-507016.75
89,slm_sparse_50epochs,1.0,0.25,-507016.75
90,slm_sparse_50epochs,1.0,0.30000000000000004,-507016.75
91,slm_sparse_50epochs,1.0,0.35000000000000003,-507016.75
92,slm_sparse_50epochs,1.0,0.4,-507016.75
93,slm_sparse_50epochs,1.0,0.45,-507016.75
94,slm_sparse_50epochs,1.0,0.5,-507016.75
95,slm_sparse_50epochs,1.0,0.55,-507016.75
96,slm_sparse_50epochs,1.0,0.6000000000000001,-507016.75
97,slm_sparse_50epochs,1.0,0.65,-507016.75
98,slm_sparse_50epochs,1.0,0.7000000000000001,-507016.75
99,slm_sparse_50epochs,1.0,0.75,-507016.75
100,slm_sparse_50epochs,1.0,0.8,-507016.75
101,slm_sparse_50epochs,1.0,0.8500000000000001,-507016.75
102,slm_sparse_50epochs,1.0,0.9,-507016.75
103,slm_sparse_50epochs,1.0,0.9500000000000001,-507016.75
104,slm_sparse_50epochs,1.0,1.0,-507016.75
105,slm_sparse_100epochs,0.0,0.0,0.0
106,slm_sparse_100epochs,0.0,0.05,-352.6399841308594
107,slm_sparse_100epochs,0.0,0.1,-882.213623046875
108,slm_sparse_100epochs,0.0,0.15000000000000002,-1614.4056396484375
109,slm_sparse_100epochs,0.0,0.2,-2318.99609375
110,slm_sparse_100epochs,0.0,0.25,-4049.564697265625
111,slm_sparse_100epochs,0.0,0.30000000000000004,-5164.35693359375
112,slm_sparse_100epochs,0.0,0.35000000000000003,-7025.45458984375
113,slm_sparse_100epochs,0.0,0.4,-9137.029296875
114,slm_sparse_100epochs,0.0,0.45,-12733.3310546875
115,slm_sparse_100epochs,0.0,0.5,-16115.31640625
116,slm_sparse_100epochs,0.0,0.55,-19660.05078125
117,slm_sparse_100epochs,0.0,0.6000000000000001,-25156.109375
118,slm_sparse_100epochs,0.0,0.65,-31354.326171875
119,slm_sparse_100epochs,0.0,0.7000000000000001,-37283.25390625
120,slm_sparse_100epochs,0.0,0.75,-47427.94921875
121,slm_sparse_100epochs,0.0,0.8,-58535.0234375
122,slm_sparse_100epochs,0.0,0.8500000000000001,-71593.2265625
123,slm_sparse_100epochs,0.0,0.9,-91936.5546875
124,slm_sparse_100epochs,0.0,0.9500000000000001,-121285.46875
125,slm_sparse_100epochs,0.0,1.0,-441734.875
126,slm_sparse_100epochs,0.25,0.0,-34641.734375
127,slm_sparse_100epochs,0.25,0.05,-36205.8359375
128,slm_sparse_100epochs,0.25,0.1,-37582.42578125
129,slm_sparse_100epochs,0.25,0.15000000000000002,-39624.51171875
130,slm_sparse_100epochs,0.25,0.2,-41697.4375
131,slm_sparse_100epochs,0.25,0.25,-43835.359375
132,slm_sparse_100epochs,0.25,0.30000000000000004,-45908.21484375
133,slm_sparse_100epochs,0.25,0.35000000000000003,-49186.9375
134,slm_sparse_100epochs,0.25,0.4,-51272.28125
135,slm_sparse_100epochs,0.25,0.45,-54468.95703125
136,slm_sparse_100epochs,0.25,0.5,-57306.0859375
137,slm_sparse_100epochs,0.25,0.55,-61768.7421875
138,slm_sparse_100epochs,0.25,0.6000000000000001,-66108.6640625
