,model,superposition_ratio,masking_ratio,log_likelihood
0,mlm_150epochs,0.0,0.0,0.0
1,mlm_150epochs,0.0,0.05,-0.0036470883060246706
2,mlm_150epochs,0.0,0.1,-0.008459852077066898
3,mlm_150epochs,0.0,0.15000000000000002,-0.01511360052973032
4,mlm_150epochs,0.0,0.2,-0.024858955293893814
5,mlm_150epochs,0.0,0.25,-0.03693284094333649
6,mlm_150epochs,0.0,0.30000000000000004,-0.048909060657024384
7,mlm_150epochs,0.0,0.35000000000000003,-0.06770197302103043
8,mlm_150epochs,0.0,0.4,-0.09472934901714325
9,mlm_150epochs,0.0,0.45,-0.12404773384332657
10,mlm_150epochs,0.0,0.5,-0.16577298939228058
11,mlm_150epochs,0.0,0.55,-0.217659592628479
12,mlm_150epochs,0.0,0.6000000000000001,-0.27715855836868286
13,mlm_150epochs,0.0,0.65,-0.3491964638233185
14,mlm_150epochs,0.0,0.7000000000000001,-0.4377971589565277
15,mlm_150epochs,0.0,0.75,-0.5348621010780334
16,mlm_150epochs,0.0,0.8,-0.6582724452018738
17,mlm_150epochs,0.0,0.8500000000000001,-0.8129445910453796
18,mlm_150epochs,0.0,0.9,-0.9448448419570923
19,mlm_150epochs,0.0,0.9500000000000001,-1.165203332901001
20,mlm_150epochs,0.0,1.0,-2.0284690856933594
21,mlm_150epochs,0.5,0.0,0.0
22,mlm_150epochs,0.5,0.05,-0.0022923266515135765
23,mlm_150epochs,0.5,0.1,-0.005324734840542078
24,mlm_150epochs,0.5,0.15000000000000002,-0.009664421901106834
25,mlm_150epochs,0.5,0.2,-0.016588089987635612
26,mlm_150epochs,0.5,0.25,-0.02510921098291874
27,mlm_150epochs,0.5,0.30000000000000004,-0.03312963619828224
28,mlm_150epochs,0.5,0.35000000000000003,-0.04650495946407318
29,mlm_150epochs,0.5,0.4,-0.06624937802553177
30,mlm_150epochs,0.5,0.45,-0.08789744973182678
31,mlm_150epochs,0.5,0.5,-0.11871770769357681
32,mlm_150epochs,0.5,0.55,-0.15734253823757172
33,mlm_150epochs,0.5,0.6000000000000001,-0.19941525161266327
34,mlm_150epochs,0.5,0.65,-0.25223401188850403
35,mlm_150epochs,0.5,0.7000000000000001,-0.31572777032852173
36,mlm_150epochs,0.5,0.75,-0.3864814043045044
37,mlm_150epochs,0.5,0.8,-0.474097341299057
38,mlm_150epochs,0.5,0.8500000000000001,-0.5847328305244446
39,mlm_150epochs,0.5,0.9,-0.6879305839538574
40,mlm_150epochs,0.5,0.9500000000000001,-0.8455708026885986
41,mlm_150epochs,0.5,1.0,-1.5093019008636475
42,mlm_150epochs,0.9,0.0,0.0
43,mlm_150epochs,0.9,0.05,-0.0004804950731340796
44,mlm_150epochs,0.9,0.1,-0.0014427530113607645
45,mlm_150epochs,0.9,0.15000000000000002,-0.0025612253230065107
46,mlm_150epochs,0.9,0.2,-0.005165903829038143
47,mlm_150epochs,0.9,0.25,-0.00780298188328743
48,mlm_150epochs,0.9,0.30000000000000004,-0.010205469094216824
49,mlm_150epochs,0.9,0.35000000000000003,-0.015240254811942577
50,mlm_150epochs,0.9,0.4,-0.021942026913166046
51,mlm_150epochs,0.9,0.45,-0.029139313846826553
52,mlm_150epochs,0.9,0.5,-0.03995078057050705
53,mlm_150epochs,0.9,0.55,-0.05552719905972481
54,mlm_150epochs,0.9,0.6000000000000001,-0.06828055530786514
55,mlm_150epochs,0.9,0.65,-0.08823342621326447
56,mlm_150epochs,0.9,0.7000000000000001,-0.1092197448015213
57,mlm_150epochs,0.9,0.75,-0.1374305784702301
58,mlm_150epochs,0.9,0.8,-0.17034295201301575
59,mlm_150epochs,0.9,0.8500000000000001,-0.2060629427433014
60,mlm_150epochs,0.9,0.9,-0.2552036643028259
61,mlm_150epochs,0.9,0.9500000000000001,-0.30978167057037354
62,mlm_150epochs,0.9,1.0,-0.40559816360473633
63,slm_sparse_150epochs,0.0,0.0,0.0
64,slm_sparse_150epochs,0.0,0.05,-0.004186281934380531
65,slm_sparse_150epochs,0.0,0.1,-0.009546059183776379
66,slm_sparse_150epochs,0.0,0.15000000000000002,-0.017125491052865982
67,slm_sparse_150epochs,0.0,0.2,-0.02712053805589676
68,slm_sparse_150epochs,0.0,0.25,-0.04033912718296051
69,slm_sparse_150epochs,0.0,0.30000000000000004,-0.052807386964559555
70,slm_sparse_150epochs,0.0,0.35000000000000003,-0.073654904961586
71,slm_sparse_150epochs,0.0,0.4,-0.10171259194612503
72,slm_sparse_150epochs,0.0,0.45,-0.13219088315963745
73,slm_sparse_150epochs,0.0,0.5,-0.17374679446220398
74,slm_sparse_150epochs,0.0,0.55,-0.22438260912895203
75,slm_sparse_150epochs,0.0,0.6000000000000001,-0.2760794162750244
76,slm_sparse_150epochs,0.0,0.65,-0.34615641832351685
77,slm_sparse_150epochs,0.0,0.7000000000000001,-0.41140663623809814
78,slm_sparse_150epochs,0.0,0.75,-0.5117934346199036
79,slm_sparse_150epochs,0.0,0.8,-0.6281243562698364
80,slm_sparse_150epochs,0.0,0.8500000000000001,-0.7705042362213135
81,slm_sparse_150epochs,0.0,0.9,-0.9722885489463806
82,slm_sparse_150epochs,0.0,0.9500000000000001,-1.2459217309951782
83,slm_sparse_150epochs,0.0,1.0,-5.065393447875977
84,slm_sparse_150epochs,0.5,0.0,0.0
85,slm_sparse_150epochs,0.5,0.05,-0.0026426969561725855
86,slm_sparse_150epochs,0.5,0.1,-0.005797234363853931
87,slm_sparse_150epochs,0.5,0.15000000000000002,-0.010502927005290985
88,slm_sparse_150epochs,0.5,0.2,-0.016758399084210396
89,slm_sparse_150epochs,0.5,0.25,-0.02463308349251747
90,slm_sparse_150epochs,0.5,0.30000000000000004,-0.03109719604253769
91,slm_sparse_150epochs,0.5,0.35000000000000003,-0.042802948504686356
92,slm_sparse_150epochs,0.5,0.4,-0.059582121670246124
93,slm_sparse_150epochs,0.5,0.45,-0.07597537338733673
94,slm_sparse_150epochs,0.5,0.5,-0.10005298256874084
95,slm_sparse_150epochs,0.5,0.55,-0.1280837208032608
96,slm_sparse_150epochs,0.5,0.6000000000000001,-0.1535906344652176
97,slm_sparse_150epochs,0.5,0.65,-0.19023309648036957
98,slm_sparse_150epochs,0.5,0.7000000000000001,-0.22168540954589844
99,slm_sparse_150epochs,0.5,0.75,-0.2690383493900299
100,slm_sparse_150epochs,0.5,0.8,-0.3189747631549835
101,slm_sparse_150epochs,0.5,0.8500000000000001,-0.37394699454307556
102,slm_sparse_150epochs,0.5,0.9,-0.43022093176841736
103,slm_sparse_150epochs,0.5,0.9500000000000001,-0.5083032250404358
104,slm_sparse_150epochs,0.5,1.0,-0.6866536736488342
105,slm_sparse_150epochs,0.9,0.0,0.0
106,slm_sparse_150epochs,0.9,0.05,-0.0005536267999559641
107,slm_sparse_150epochs,0.9,0.1,-0.0014067923184484243
108,slm_sparse_150epochs,0.9,0.15000000000000002,-0.0022897133603692055
109,slm_sparse_150epochs,0.9,0.2,-0.004010356497019529
110,slm_sparse_150epochs,0.9,0.25,-0.006017564795911312
111,slm_sparse_150epochs,0.9,0.30000000000000004,-0.006318002473562956
